,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
1915,COST1U3B1INT3,00103,"Third Interview, Coop, 1 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1916,COST7U2B1INT0,00103,"Initial Interview, Furnished, 1 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1917,MRCH_NONMERCH_EC_DVAL,00101,non-merchandise ecommerce derived estimate,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.1%
1918,COST12U3B0INT4,00103,"Fourth Interview, Coop, 0 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1919,COST9U3B3INT4,00103,"Fourth Interview, Coop, 3 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1920,COST12U3B1INT1,00206,"First Interview, Coop, 1 Bedrms, Cost #12",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.1%
1921,COST4U3B0INT4,00103,"Fourth Interview, Coop, 0 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1922,COST3U2B3INT4,00103,"Fourth Interview, Furnished, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1923,COST5U1B0INT0,00103,"Initial Interview, Unfurnished, 0 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1924,COST5U2B3INT0,00103,"Initial Interview, Furnished, 3 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1925,COST8U3B0INT4,00103,"Fourth Interview, Coop, 0 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1926,COST8U2B3INT3,00103,"Third Interview, Furnished, 3 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1927,COST4U3B2INT1,00103,"First Interview, Coop, 2 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1928,EMP_SHEET,00306,"Selected MetalWorking Employment, Sheet metal work, aluminum or steel",Trade Accounts & Trade Notes Payable 306 Trade Accounts and Trade Notes Payable Trade Accounts and Trade notes payable Trade accounts and trade notes payable            00306,32.1%
1929,HOUSE_SNGL_ATTACH_SALE,00219,"Houses built for sale on land you owned,  Number of Attached (single-family homes separated by an unbroken ground to roof wall with separate utility meters: townhomes, duplexes, row-homes)","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.1%
1930,EMP_SUM_AVGOTH,00101,Manufacturing:  Sum of Average Annual Production Workers and Other non production employees,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.1%
1931,EXPS_TAX_VAL,00110,Purchased tax and license fees,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,32.1%
1932,HOUSE_MULT_BUILD,0122D,"Multifamily homes started,  Number of Multifamily Buildings (apartment/condominium complexes)",Census Use Only -- ADJ               122 Census Use Only -- ADJ Census Use Only -- ADJ ADJ,32.1%
1933,COST1U2B0INT3,00103,"Third Interview, Furnished, 0 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1934,COST1U2B3INT3,00103,"Third Interview, Furnished, 3 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1935,COST9U3B1INT1,00103,"First Interview, Coop, 1 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1936,COST11U1B0INT4,00103,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1937,COST6U2B3INT0,00103,"Initial Interview, Furnished, 3 Bedrms, Cost #6",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1938,COST7U1B0INT3,00103,"Third Interview, Unfurnished, 0 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1939,EMP_AVG_PRDWRK,NDNET,Average number of annual production workers at this establishment,Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,32.0%
1940,COST5U4B3INT1,00103,"First Interview, Condo, 3 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1941,COST5U2B1INT3,00103,"Third Interview, Furnished, 1 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1942,COST3U1B1INT4,00103,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1943,COST8U3B1INT4,00103,"Fourth Interview, Coop, 1 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1944,EMP_MAR12_PRD,00110,"Employment By Occupation,  Production - including employees who manufacture products from raw materials or semi-finished products",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,32.0%
1945,COST10U2B1INT0,00103,"Initial Interview, Furnished, 1 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1946,COST10U2B2INT0,00103,"Initial Interview, Furnished, 2 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1947,COST2U3B0INT4,00103,"Fourth Interview, Coop, 0 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1948,COST2U2B2INT3,00103,"Third Interview, Furnished, 2 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1949,COST2U3B3INT1,00103,"First Interview, Coop, 3 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1950,COST3U2B2INT2,00103,"Second Interview, Furnished, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1951,COST10U4B0INT2,00103,"Second Interview, Condo, 0 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1952,COST10U1B0INT0,00103,"Initial Interview, Unfurnished, 0 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.0%
1953,TOTU1INT1,00081,"Total UnFurn Units, First Intv",EI for Addition 1 EI for addition 1 EI for Addition 1 Federal EI of Addition 1                          00081,32.0%
1954,RCPT_C_ST_PA,00219,"Construction Work by State,  Pennsylvania","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.0%
1955,RCPT_C_ST_CT,00219,"Construction Work by State,  Connecticut","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.0%
1956,RCPT_INTELPH_BUN_PCT,00101,Percentage of receipts for internet telephone services from “bundled” services.,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.0%
1957,COST12U3B1INT4,00103,"Fourth Interview, Coop, 1 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1958,COST7U1B1INT3,00103,"Third Interview, Unfurnished, 1 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1959,COST7U2B2INT3,00103,"Third Interview, Furnished, 2 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1960,COST7U3B3INT1,00206,"First Interview, Coop, 3 Bedrms, Cost #7",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,31.9%
1961,COST7U4B0INT1,00103,"First Interview, Condo, 0 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1962,COST7U3B2INT3,00206,"Third Interview, Coop, 2 Bedrms, Cost #7",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,31.9%
1963,COST9U2B1INT4,00103,"Fourth Interview, Furnished, 1 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1964,COST9U2B2INT4,00103,"Fourth Interview, Furnished, 2 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1965,COST7U2B0INT3,00103,"Third Interview, Furnished, 0 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1966,COST1U2B2INT3,00103,"Third Interview, Furnished, 2 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1967,COST8U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
1968,PROD_QTYPRD_SAND_NONE,00217,"None for the question: If MINE_HERE = 1, report the construction sand and gravel (run of pit or bank, washed, screened, or otherwise treated) mined at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,31.9%
1969,INC_INTERNET,00219,Is Internet included in the rent/condo fee?,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",31.9%
1970,COST2U4B2INT2,00103,"Second Interview, Condo, 2 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,31.9%
